Strain (%),Stress (MPa)
-0.0021021,0.10936
0.31532,0.2275
1.1261,0.13439
2.1471,0.19588
3.1532,0.26439
4.1592,0.37727
5.1652,0.43129
6.1712,0.36102
7.1772,0.44578
8.1682,0.49058
9.1742,0.49409
10.18,0.567
11.186,0.48311
12.192,0.54328
13.198,0.61882
14.189,0.61531
15.195,0.63376
16.186,0.58896
17.192,0.68031
18.198,0.67153
19.189,0.70051
20.195,0.76288
21.186,0.63639
22.192,0.70007
23.183,0.73741
24.189,0.74663
25.195,0.83095
26.201,0.86126
27.207,0.80241
28.198,0.81954
29.204,0.87487
30.21,0.85072
31.201,0.78879
32.207,0.82612
33.213,0.88014
34.219,0.85204
35.225,0.91835
36.216,0.83271
37.222,0.81778
38.213,0.86653
39.219,0.85467
40.225,0.95437
41.231,0.91089
42.237,0.79626
43.243,0.90913
44.249,0.91133
45.24,0.92846
46.246,0.8292
47.237,0.87531
48.243,0.93373
49.249,0.94163
50.24,0.94514
51.246,0.93548
52.237,0.827
53.243,0.95129
54.234,0.97062
55.24,0.98379
56.246,0.98072
57.252,0.892
58.258,0.97896
59.249,1.0066
60.24,0.9346
61.246,0.94383
62.252,0.84545
63.258,0.93812
64.264,1.0229
65.27,0.94866
66.261,0.90606
67.267,0.87004
68.258,0.90474
69.264,0.92626
70.27,0.99873
71.276,0.94602
72.267,0.90562
73.273,0.89903
74.264,0.92319
75.27,0.9166
76.261,0.88058
77.267,0.88454
78.273,0.92275
79.279,0.93856
80.27,0.88629
83.273,0.96008
84.279,0.86873
88.288,1.0123
89.279,0.87356
92.282,0.94471
95.3,0.87707
98.288,0.95042
100.3,0.85028
105.3,0.81558
107.3,0.9267
108.3,0.8169
113.3,0.90913
114.29,0.84237
119.31,0.76464
120.32,0.84106
122.31,0.91133
123.32,0.82876
125.32,0.90386
127.31,0.7822
129.31,0.874
132.31,0.77562
134.32,0.89903
136.32,0.827
141.32,0.85291
146.34,0.85906
151.34,0.82129
156.35,0.7844
158.35,0.85818
161.35,0.78045
162.36,0.86916
164.35,0.79582
168.36,0.86785
170.36,0.78703
175.36,0.80329
180.38,0.78133
185.39,0.72643
186.38,0.8415
188.38,0.74092
190.39,0.86653
192.39,0.75453
196.38,0.86697
198.39,0.78835
203.39,0.84018
208.41,0.79889
213.41,0.82612
218.41,0.85511
222.42,0.76947
223.42,0.88234
224.41,0.79274
229.41,0.81514
234.41,0.93109
236.43,0.78967
239.43,0.8797
243.44,0.80943
246.44,0.939
248.44,0.82964
249.44,0.92538
253.45,0.85643
258.44,0.90474
263.45,0.86697
268.45,0.91396
269.46,0.99082
271.46,0.91001
276.47,0.97369
277.46,0.89596
280.48,0.98292
285.48,0.92319
290.48,0.93592
295.48,0.89596
298.5,0.99653
303.5,0.9245
305.51,1.0466
310.51,1.0664
315.51,1.0637
320.51,1.0778
323.51,1.1854
324.5,1.0936
329.52,1.04
330.53,1.1204
335.53,1.1748
338.53,1.1006
343.53,1.2337
345.53,1.1208
350.54,1.2302
355.54,1.1674
360.54,1.2214
361.55,1.3347
362.55,1.2346
365.56,1.3259
366.56,1.1986
367.55,1.2934
368.56,1.2069
371.56,1.2886
373.56,1.2082
374.56,1.3009
