Strain (%),Stress (MPa)
0,0.0023057
1.1234,-0.023634
3.1456,0.024499
5.1528,0.047268
6.1564,0.046979
8.1486,0.088771
9.1522,0.094535
11.159,0.10405
13.152,0.16025
14.155,0.086754
15.159,0.081277
16.147,0.10779
17.151,0.077819
18.17,0.093094
19.158,0.15016
20.162,0.06312
21.15,0.11327
22.154,0.14353
23.143,0.12912
24.146,0.12797
25.165,0.10174
26.153,0.08733
27.157,0.11327
28.146,0.14613
29.149,0.15276
30.153,0.14786
31.141,0.17956
32.145,0.17956
33.149,0.17581
34.152,0.16861
35.156,0.16371
36.144,0.083871
37.148,0.13229
38.152,0.17437
39.14,0.10318
40.144,0.1614
41.147,0.16111
42.151,0.17581
43.14,0.17149
44.143,0.21357
45.132,0.16573
46.135,0.16659
47.124,0.18359
48.128,0.13489
49.131,0.15996
50.12,0.20694
51.123,0.17178
52.112,0.24326
53.116,0.21962
54.119,0.1761
55.123,0.1957
56.111,0.19685
57.115,0.21818
58.119,0.16054
59.107,0.18821
60.111,0.15477
61.114,0.10952
62.118,0.2153
63.122,0.22712
64.11,0.24758
65.114,0.21818
66.102,0.21905
67.106,0.19887
68.095,0.22077
69.098,0.1859
70.102,0.18648
71.105,0.1614
72.094,0.16659
73.098,0.1908
74.086,0.19484
75.09,0.19224
76.078,0.26113
77.082,0.24383
78.086,0.24527
79.089,0.24441
80.078,0.16717
81.081,0.17437
82.07,0.17408
83.074,0.14901
84.077,0.2202
85.081,0.22625
86.084,0.23576
87.088,0.21789
88.077,0.21011
89.065,0.23778
90.069,0.22567
91.073,0.24614
92.076,0.2617
93.08,0.22193
94.068,0.17062
95.072,0.2372
96.061,0.21616
97.064,0.23461
98.053,0.21069
99.056,0.17351
100.06,0.19656
101.06,0.18014
102.05,0.19829
103.06,0.18215
104.04,0.25046
105.05,0.23547
106.05,0.24499
107.04,0.23749
108.04,0.24441
109.05,0.23115
110.04,0.19772
111.04,0.17956
112.04,0.18878
113.03,0.2496
114.04,0.24614
115.04,0.22366
116.04,0.24585
117.03,0.21876
118.03,0.21847
122.03,0.30551
123.02,0.25392
125.01,0.1761
127.01,0.23317
132.01,0.25853
137,0.27035
138.99,0.20608
143.99,0.24383
148.98,0.21991
153.97,0.22856
158.96,0.23317
163.95,0.27409
168.95,0.23749
172.93,0.29081
177.94,0.27525
178.92,0.22106
183.93,0.34442
184.93,0.29283
189.92,0.24758
194.91,0.29024
197.9,0.23576
198.91,0.30522
203.89,0.34067
204.9,0.28476
207.89,0.21213
208.88,0.26689
212.9,0.31733
216.88,0.25478
220.88,0.30983
225.85,0.31272
229.85,0.25882
230.84,0.33404
235.84,0.29369
240.83,0.32742
245.84,0.33491
248.83,0.27208
249.84,0.3228
254.82,0.35364
256.82,0.30292
261.8,0.34442
266.81,0.36604
271.79,0.30753
272.8,0.36517
276.8,0.31502
281.79,0.34125
286.77,0.3767
289.77,0.31329
294.77,0.33837
296.76,0.39976
301.77,0.34067
306.76,0.33866
308.75,0.39716
313.74,0.41157
318.74,0.37295
323.73,0.40206
328.71,0.37238
329.72,0.43867
334.72,0.43434
336.71,0.36229
341.7,0.43175
346.69,0.44443
351.68,0.45596
356.68,0.41503
358.67,0.46893
360.68,0.41734
361.68,0.47527
362.69,0.41475
367.66,0.4502
372.66,0.4574
377.65,0.46374
382.64,0.48882
387.64,0.44011
390.64,0.49804
395.63,0.47181
400.63,0.47815
404.61,0.55482
406.61,0.49458
411.59,0.53839
416.6,0.52686
421.6,0.54848
424.6,0.49602
426.59,0.56116
431.59,0.50842
436.56,0.51216
440.55,0.56808
445.55,0.56404
450.55,0.54848
454.55,0.62341
455.54,0.5626
460.55,0.62226
465.52,0.59171
469.52,0.66521
471.51,0.60612
473.52,0.65915
474.52,0.609
479.51,0.64561
484.51,0.63264
489.5,0.68567
494.49,0.68192
499.49,0.67875
504.48,0.72573
508.46,0.7998
510.47,0.71074
515.46,0.71017
516.46,0.76752
521.46,0.74562
526.45,0.80528
527.44,0.74331
528.45,0.79433
533.43,0.81883
538.42,0.83929
543.42,0.83554
547.41,0.94276
548.41,0.86091
553.4,0.84592
556.4,0.93469
557.4,0.85082
561.38,0.9295
564.39,0.95227
