Strain (%),Stress (MPa)
0,0.0014661
0.91564,0.056079
1.9364,0.031155
2.9421,0.087234
3.9628,0.073306
4.9685,0.12059
5.9592,0.14185
6.9649,0.28772
7.9706,0.23824
8.9763,0.22578
9.982,0.2672
10.988,0.33867
11.978,0.39952
12.984,0.35333
13.99,0.35883
14.98,0.32145
15.986,0.29322
16.992,0.31668
17.983,0.36909
18.988,0.39109
19.994,0.40135
20.985,0.46769
21.975,0.48308
22.981,0.43947
23.987,0.43544
24.977,0.42847
25.998,0.45266
27.004,0.37972
27.995,0.48089
29,0.47465
29.991,0.51534
30.997,0.42737
32.002,0.49151
33.008,0.5256
34.014,0.49445
35.005,0.50288
36.01,0.51937
37.001,0.49738
38.007,0.52047
39.012,0.49518
40.018,0.51864
41.009,0.54613
42.014,0.50361
43.02,0.53403
44.011,0.57069
45.017,0.5179
46.007,0.54576
47.013,0.50398
48.004,0.54283
49.009,0.57325
50.015,0.51387
51.006,0.53477
52.011,0.59598
53.002,0.57252
54.008,0.52487
55.014,0.541
56.019,0.62713
57.025,0.48235
58.016,0.58278
59.021,0.55126
60.012,0.49335
61.018,0.49848
62.023,0.56665
63.014,0.54796
64.02,0.56372
65.026,0.56739
66.016,0.54246
67.022,0.53623
68.013,0.60404
69.018,0.60001
70.024,0.5432
71.015,0.55859
72.02,0.56116
73.026,0.53403
74.017,0.56116
75.023,0.47172
76.013,0.59378
77.019,0.57692
78.025,0.63373
79.015,0.57875
80.021,0.58278
81.027,0.56849
82.017,0.62786
83.023,0.54283
84.014,0.56079
85.02,0.54283
86.04,0.54503
87.031,0.50251
88.037,0.52743
89.042,0.51424
90.033,0.5278
91.039,0.58828
92.044,0.55456
93.035,0.55273
94.041,0.51864
95.047,0.52634
96.037,0.58315
101.05,0.5256
106.03,0.48785
109.04,0.6154
114.05,0.50654
119.05,0.47905
124.06,0.54796
129.06,0.48455
134.06,0.50838
139.06,0.58278
144.06,0.5201
149.07,0.53623
154.08,0.54429
159.08,0.55089
164.08,0.57252
169.08,0.57069
174.08,0.57545
179.09,0.61064
184.09,0.60111
186.1,0.47612
187.09,0.56995
190.09,0.66818
193.11,0.56519
198.09,0.6143
203.09,0.6165
208.11,0.6121
213.12,0.65132
218.12,0.6986
223.12,0.75725
224.12,0.58058
225.11,0.67734
230.14,0.68871
235.14,0.73856
240.15,0.72023
241.14,0.6286
244.16,0.72646
249.16,0.81443
251.17,0.70923
256.17,0.73672
261.17,0.8027
266.17,0.71107
268.18,0.80563
273.18,0.83788
277.18,0.92915
281.19,0.83825
282.18,0.95737
283.19,0.82909
288.19,0.84338
292.18,0.93978
297.21,0.9614
301.2,0.78767
302.21,0.93905
307.21,0.88004
312.2,0.92292
314.21,1.0219
316.21,0.91889
318.21,1.0109
323.21,1.0578
328.22,1.0365
333.22,1.1186
338.22,1.1311
343.22,1.1439
347.22,1.2315
352.24,1.1967
357.24,1.2029
362.23,1.266
367.25,1.1905
368.24,1.2872
373.25,1.325
377.24,1.4573
382.24,1.3866
387.26,1.4214
392.25,1.4357
394.27,1.5314
399.26,1.5566
401.28,1.6362
402.28,1.5222
404.28,1.6219
