Temperature (deg C),Storage Modulus (MPa),Loss Modulus (MPpa),Tan Delta
-80.056,1489.5,51.478,0.034752
-79.902,1491.1,52.403,0.035409
-79.808,1492.8,52.802,0.03567
-79.639,1493.1,55.301,0.037456
-79.524,1493.1,57.327,0.038904
-79.306,1507,47.956,0.031807
-79.208,1508.3,48.003,0.031799
-79.075,1510.7,48.442,0.032013
-78.844,1513.7,47.753,0.031486
-78.65,1516.4,47.27,0.031113
-78.459,1519,48.257,0.031706
-78.312,1520.7,47.948,0.031484
-77.957,1524.5,48.96,0.032113
-77.832,1539.6,49.606,0.03222
-77.597,1540.4,48.477,0.031466
-77.496,1540.8,49.02,0.031812
-77.203,1542.1,49.241,0.031932
-76.994,1542.6,48.385,0.031367
-76.819,1543,48.775,0.031611
-76.639,1543.4,49.689,0.032195
-76.396,1543.8,49.884,0.032315
-76.154,1544.1,50.2,0.032514
-75.931,1544.2,48.944,0.031696
-75.636,1544.3,49.555,0.032089
-75.428,1544.3,49.241,0.031887
-75.216,1543.8,49.218,0.031882
-75.01,1543.5,49.079,0.031798
-74.767,1542.9,49.404,0.032021
-74.597,1542.5,49.192,0.031893
-74.309,1541.3,48.92,0.03174
-74.153,1540.6,48.843,0.031704
-73.903,1539.7,49.738,0.032302
-73.718,1539,50.012,0.032495
-73.42,1537.6,49.628,0.032275
-73.23,1536.7,49.408,0.032151
-73.004,1535.6,48.735,0.031737
-72.796,1534.3,49.094,0.031997
-72.536,1532.6,48.66,0.031749
-72.341,1531.3,48.855,0.031904
-72.059,1529.6,48.725,0.031853
-71.87,1528.7,48.971,0.032036
-71.608,1527.2,47.974,0.031411
-71.368,1525.9,47.906,0.031393
-71.118,1524.6,48.242,0.031641
-70.907,1523.7,47.961,0.031473
-70.648,1522.8,47.879,0.03144
-70.396,1522.1,47.839,0.031428
-70.217,1521.3,47.79,0.031414
-69.924,1520.7,48.248,0.031727
-69.717,1520.3,47.609,0.031316
-69.476,1520.1,48.135,0.031665
-69.26,1520.1,47.596,0.031311
-68.98,1520.3,47.302,0.031113
-68.703,1520.3,47.816,0.031451
-68.52,1519.7,46.919,0.030872
-68.24,1519.7,47.071,0.030972
-67.974,1519.4,47.853,0.031496
-67.81,1519.1,47.66,0.031374
-67.501,1518.3,46.815,0.030833
-67.208,1516.9,47.727,0.031461
-67.104,1516.6,47.221,0.031135
-66.718,1514.6,46.477,0.030684
-66.518,1513.5,46.705,0.030857
-66.291,1512.5,46.924,0.031026
-66.016,1510.4,45.759,0.030294
-65.8,1508.6,46.935,0.03111
-65.503,1505.8,45.856,0.030453
-65.29,1504.1,46.195,0.030717
-65.015,1501.6,47.687,0.031759
-64.845,1500.1,46.925,0.031285
-64.556,1497.9,46.159,0.030818
-64.31,1496.2,46.334,0.030965
-64.065,1494.5,46.123,0.030859
-63.761,1492.8,45.471,0.03046
-63.571,1492.1,46.188,0.030955
-63.301,1490.1,45.359,0.030439
-63.033,1488.8,45.418,0.030507
-62.812,1488.1,45.656,0.030679
-62.599,1487.5,45.633,0.030676
-62.276,1487,45.457,0.030568
-62.076,1486.4,44.705,0.030073
-61.789,1485.6,44.112,0.029691
-61.506,1485.2,44.9,0.030231
-61.284,1483.9,44.976,0.030308
-61.018,1483.2,45.151,0.03044
-60.851,1482.5,45.154,0.030458
-60.495,1481,45.737,0.030884
-60.295,1479.7,44.831,0.030297
-59.93,1477.2,45.199,0.030595
-59.807,1476.2,44.726,0.030298
-59.415,1473.5,43.777,0.029709
-59.193,1471.5,43.418,0.029504
-58.914,1468.9,44.672,0.030407
-58.728,1467.3,45.192,0.03079
-58.469,1465,45.775,0.031234
-58.08,1461.7,44.974,0.030776
-57.961,1460.9,45.222,0.030963
-57.664,1459.1,44.505,0.030505
-57.483,1457.6,44.275,0.030379
-57.154,1455.2,44.5,0.030586
-56.936,1453.8,44.932,0.030909
-56.71,1453.3,45.149,0.031071
-56.442,1452.1,44.246,0.030475
-56.233,1451.4,44.628,0.030751
-55.964,1450,45.286,0.031231
-55.703,1449.4,44.668,0.030817
-55.382,1448.8,45.387,0.031327
-55.194,1447.9,44.139,0.030482
-54.98,1447.5,44.54,0.030769
-54.658,1446.3,43.627,0.030166
-54.559,1445.6,43.597,0.030158
-54.243,1444.5,44.351,0.030701
-53.939,1443.2,43.441,0.030095
-53.782,1442.2,43.806,0.030372
-53.473,1439.5,42.127,0.029258
-53.086,1436.8,42.344,0.029468
-52.967,1436,42.418,0.029536
-52.664,1432.9,42.543,0.029683
-52.378,1428.9,42.757,0.029924
-52.355,1428.7,42.577,0.029804
-52.06,1426.3,42.862,0.030048
-51.713,1423.3,42.36,0.02976
-51.295,1420.4,41.253,0.029046
-51.156,1419.4,40.791,0.028741
-50.993,1418.1,42.074,0.029676
-50.692,1414.4,42.377,0.02997
-50.352,1413.2,43.314,0.030657
-50.149,1412.2,42.845,0.030341
-49.848,1411.3,42.222,0.029917
-49.677,1410.2,41.315,0.029296
-49.51,1410.8,43.267,0.030666
-49.209,1410.3,41.751,0.029604
-48.962,1408.8,41.597,0.029526
-48.71,1407.7,41.713,0.029628
-48.442,1406.8,40.992,0.029132
-48.324,1406.5,40.704,0.028933
-48.064,1405.1,41.776,0.029725
-47.835,1403.3,41.615,0.029648
-47.591,1403.7,41.757,0.029741
-47.282,1400.9,41.155,0.029382
-46.994,1399.3,40.277,0.028783
-46.819,1396.7,40.695,0.029128
-46.526,1393.2,42.165,0.030266
-46.406,1391.5,41.945,0.030152
-46.108,1386.9,43.178,0.031152
-45.801,1386,42.648,0.030789
-45.641,1384.8,42.081,0.030405
-45.313,1382.3,42.766,0.030957
-45.081,1381,44.345,0.032127
-44.741,1378.8,42.067,0.030517
-44.538,1376.8,41.354,0.030041
-44.38,1375.2,41.646,0.030291
-44.065,1371.6,41.297,0.030122
-43.701,1369.6,42.932,0.031367
-43.547,1369,44.69,0.032674
-43.429,1368.3,44.961,0.032891
-43.06,1365.1,44.225,0.032424
-42.767,1363.8,41.44,0.030419
-42.57,1361.7,41.48,0.030501
-42.103,1355.7,43.593,0.032183
-41.76,1351.6,43.716,0.032365
-41.699,1350.8,43.633,0.032322
-41.5,1348.5,44.671,0.033129
-40.919,1341.9,46.173,0.034392
-40.722,1339.7,47.275,0.035273
-40.324,1336,45.618,0.034136
-40.17,1334.6,43.325,0.032473
-39.962,1331.8,43.113,0.032378
-39.661,1329.6,43.575,0.032779
-39.616,1329.3,43.65,0.032842
-39.272,1324.5,43.532,0.032859
-38.8,1320.2,42.324,0.032054
-38.533,1315.8,44.676,0.033992
-38.546,1316,44.766,0.034059
-38.096,1310.8,44.793,0.034189
-37.803,1307,45.144,0.034553
-37.902,1308.3,44.814,0.034264
-37.382,1304.1,46.023,0.035325
-37.091,1301.2,43.656,0.033564
-36.987,1298.6,43.592,0.033582
-36.548,1294.3,46.136,0.03567
-35.986,1288.1,44.91,0.034888
-35.762,1285.3,47.023,0.036594
-35.909,1287.1,45.618,0.035458
-35.47,1282.4,45.942,0.035833
-35.074,1277.2,45.275,0.035463
-35,1277,46.015,0.036047
-34.886,1274.9,46.802,0.036729
-34.522,1269.4,48.153,0.037951
-34.225,1264.6,45.748,0.036194
-34.084,1262.5,44.767,0.035467
-33.992,1261.1,45.066,0.035745
-33.933,1260.8,46.162,0.036613
-33.466,1254.2,46.962,0.037455
-32.953,1247.7,49.292,0.039516
-32.698,1243.9,50.543,0.040657
-32.436,1239.1,48.311,0.039018
-32.408,1238.7,48.715,0.039348
-32.259,1236.4,49.741,0.040254
-31.485,1226.9,51.704,0.042161
-31.389,1225.9,51.305,0.041876
-31.208,1223.4,51.377,0.042027
-30.805,1217.6,53.674,0.044093
-30.835,1218,53.591,0.044013
-30.571,1214.4,53.683,0.044191
-29.7,1200.7,54.156,0.045101
-29.532,1199,54.511,0.045479
-29.362,1197,53.966,0.045107
-29.444,1198,54.216,0.045276
-29.172,1192,53.691,0.045042
-28.604,1182.1,55.517,0.047009
-28.101,1173.2,56.959,0.048615
-28.113,1173.4,56.932,0.048584
-27.764,1168.8,55.708,0.047751
-27.793,1169.3,55.613,0.047648
-27.259,1159.5,58.017,0.050095
-27.193,1158.2,58.262,0.050362
-27.251,1159.4,58.047,0.050128
-26.836,1151.4,60.071,0.052245
-26.444,1142.3,60.109,0.052687
-26.074,1135,61.641,0.054356
-26.131,1135.8,61.383,0.054092
-26.234,1137.3,60.926,0.053622
-25.532,1123.2,68.966,0.061567
-25.43,1121.5,69.662,0.062289
-25.057,1115.1,71.025,0.063889
-24.737,1106.8,72.502,0.065754
-24.327,1097,77.141,0.07063
-24.086,1091.9,78.824,0.072496
-24.9,1109,72.593,0.065702
-24.22,1094.7,77.921,0.071491
-23.307,1072.2,78.261,0.073171
-23.003,1064.4,79.924,0.075218
-22.448,1046.3,83.877,0.080092
-22.108,1037,81.027,0.078133
-22.178,1038.9,81.57,0.078504
-22.032,1034.9,80.445,0.077731
-21.902,1031.4,79.423,0.077004
-21.819,1029,80.207,0.077978
-22.023,1034.5,81.162,0.078464
-22.007,1034,81.08,0.078419
-20.995,1008.2,83.306,0.082881
-20.329,984.46,82.952,0.084498
-20.389,986.15,82.936,0.084331
-20.36,985.32,82.941,0.08441
-19.558,967.38,86.018,0.089062
-19.671,969.68,85.799,0.088634
-19.151,957.49,87.02,0.091154
-18.379,933.36,93.021,0.1002
-18.183,925.41,94.011,0.10222
-18.143,924.02,94.304,0.1027
-18.312,929.8,93.123,0.10074
-17.85,913.01,97.176,0.10693
-17.81,911.59,97.371,0.10733
-17.163,892.01,103.33,0.11666
-17.507,904.02,99.348,0.11054
-16.994,885.87,105.42,0.11988
-16.833,879.68,107.32,0.12292
-15.698,832.97,116.11,0.14016
-15.29,816.75,118.78,0.1457
-15.169,809.73,118.75,0.14701
-15.367,816.22,117.58,0.14442
-15.112,807.75,119.02,0.14769
-14.675,790.37,120.5,0.1529
-15.141,808.18,118.36,0.1468
-14.609,787.73,120.83,0.15384
-13.696,754.42,125.49,0.16719
-14.322,782.34,126.05,0.16225
-13.588,746.81,123.31,0.16585
-12.804,712.48,130.62,0.18463
-12.207,683.91,134.09,0.19818
-12.078,678.64,133.12,0.19767
-12.193,683.76,131.69,0.19405
-12.023,676.13,133.78,0.1994
-11.511,648.31,140.26,0.2191
-11.974,672.18,134.97,0.20302
-11.709,658.71,138.1,0.21225
-11.231,634.06,142.79,0.22789
-10.952,619.53,145.15,0.23685
-10.862,617.34,145.37,0.23833
-10.322,588.76,147.37,0.25254
-10.377,591.31,147.08,0.25097
-10.561,600.05,146.17,0.24586
-10.336,589.42,147.29,0.25213
-9.3625,538.82,152.17,0.28578
-9.3085,536.59,153.1,0.28834
-8.9065,517.1,154.57,0.30268
-8.5408,498.71,155.9,0.31627
-8.4008,491.21,156.03,0.3217
-8.2684,483.92,156.15,0.32704
-8.2687,483.94,156.15,0.32703
-8.2551,483.19,156.17,0.32759
-8.1565,476.27,156.55,0.33493
-7.6668,446.59,156.47,0.35738
-7.3295,423.25,156.11,0.37757
-7.418,429.03,155.93,0.37211
-7.065,406.17,156.35,0.39353
-6.6945,381.27,156,0.41578
-6.8039,388.38,156.88,0.41058
-6.7953,387.81,156.81,0.41099
-6.3388,361.61,153.85,0.43413
-6.0628,346.43,152.67,0.45045
-6.3238,360.26,154.26,0.43771
-5.294,306.55,147.85,0.49528
-4.9497,284.94,144.64,0.51971
-4.9171,283.27,144.33,0.52177
-4.6462,268.43,141.52,0.54044
-4.4816,260.39,140.23,0.54788
-4.1858,246.34,137.49,0.56837
-4.2166,247.81,137.79,0.56621
-3.9678,236.37,135.11,0.58597
-3.7977,228.45,133.23,0.59797
-3.6338,220.73,131.26,0.60859
-3.5254,215.87,129.95,0.6158
-3.3961,210.65,128.69,0.62397
-3.2241,203.82,126.66,0.63745
-2.5305,174.51,117.36,0.68843
-2.4778,172.57,116.69,0.69207
-1.9535,152.55,109,0.72589
-1.8784,150.05,108.07,0.73026
-1.8516,149.24,107.71,0.73168
-1.3742,136.03,101.84,0.75934
-1.2492,133.23,100.46,0.76578
-0.94481,124.46,96.491,0.78567
-0.6916,118.83,93.381,0.79785
-0.26635,107.42,87.457,0.82332
-0.32757,108.76,88.217,0.82032
0.2292,95.934,80.574,0.85033
0.40364,92.635,78.613,0.85804
0.72935,86.703,74.736,0.87217
0.92288,83.185,72.502,0.88243
1.0575,80.825,70.892,0.88945
1.3418,75.478,67.479,0.90396
1.4787,73.248,65.905,0.90994
1.9523,65.803,60.455,0.92792
2.2401,61.511,57.222,0.93999
2.4653,58.121,54.577,0.94808
2.7614,54.196,51.423,0.95633
3.124,49.706,47.89,0.96845
3.359,47.281,45.784,0.97352
3.6082,44.694,43.563,0.97893
3.7739,42.9,42.015,0.98231
4.126,39.942,39.305,0.98633
4.4219,37.654,37.141,0.98789
4.6171,36.285,35.8,0.98762
4.8799,34.222,33.838,0.98907
5.3199,31.099,30.84,0.99122
5.5806,29.668,29.343,0.98853
5.8278,28.31,27.983,0.98712
5.9669,27.557,27.253,0.98755
6.3087,25.894,25.595,0.98673
6.5764,24.679,24.276,0.98173
6.8993,23.257,22.706,0.97292
7.1964,21.987,21.397,0.96969
7.4649,20.917,20.215,0.96282
7.8058,19.679,18.895,0.95567
8.0643,18.732,17.888,0.94957
8.3107,17.935,17.04,0.94471
8.5456,17.235,16.215,0.93519
8.875,16.294,15.186,0.92667
9.259,15.363,14.132,0.91368
9.4148,14.932,13.637,0.90817
9.7863,14.054,12.651,0.89652
10.017,13.516,12.139,0.89441
10.44,12.725,11.267,0.88262
10.541,12.553,11.074,0.87935
10.961,11.829,10.307,0.86878
10.991,11.78,10.259,0.8683
11.708,10.752,9.1762,0.85059
12.098,10.192,8.6165,0.84296
12.35,9.8696,8.3106,0.83905
12.559,9.5669,8.0254,0.83622
12.871,9.2157,7.6607,0.82806
13.13,8.9262,7.3664,0.82166
13.351,8.676,7.0912,0.81417
13.787,8.1836,6.615,0.80537
13.983,7.979,6.4112,0.8005
14.221,7.7421,6.1821,0.79579
14.429,7.5398,5.9813,0.7909
14.801,7.2252,5.6706,0.78203
14.963,7.0593,5.5119,0.77786
15.439,6.6301,5.1086,0.76747
15.66,6.4508,4.923,0.76035
15.957,6.2232,4.7105,0.7545
16.274,6.002,4.4946,0.74571
16.442,5.8784,4.381,0.74162
16.748,5.6737,4.1858,0.73459
16.98,5.5192,4.0415,0.72916
17.465,5.2156,3.7524,0.71667
17.628,5.1196,3.6607,0.71233
17.889,4.9621,3.5107,0.70499
18.093,4.847,3.4063,0.70031
18.373,4.7001,3.2694,0.69357
18.627,4.5782,3.1632,0.68888
18.896,4.4545,3.0547,0.68348
19.191,4.3097,2.9203,0.67559
19.4,4.2152,2.8378,0.67124
19.877,4.0074,2.666,0.66344
20.046,3.9437,2.6076,0.65922
20.302,3.8524,2.5244,0.65325
20.629,3.736,2.4236,0.64689
20.81,3.6792,2.3683,0.64193
21.1,3.5809,2.2906,0.6381
21.407,3.4761,2.2054,0.63279
21.643,3.3971,2.1413,0.62879
21.941,3.3175,2.0696,0.62247
22.261,3.2305,2.001,0.61828
22.462,3.1764,1.9576,0.61525
22.842,3.0785,1.8746,0.60759
22.912,3.0639,1.86,0.60593
23.394,2.9575,1.7763,0.5993
23.566,2.9159,1.7408,0.59572
23.991,2.829,1.6687,0.58849
24.151,2.7956,1.642,0.58598
24.868,2.6513,1.5262,0.57422
24.898,2.644,1.5213,0.57404
25.481,2.5324,1.4333,0.5648
25.548,2.5153,1.418,0.56283
25.913,2.4504,1.3679,0.55734
26.04,2.4301,1.3535,0.55605
26.288,2.3853,1.3232,0.5538
26.555,2.3365,1.2844,0.54894
26.806,2.2988,1.2556,0.54534
27.049,2.254,1.226,0.54311
27.165,2.2363,1.2128,0.54149
27.48,2.1868,1.1777,0.53781
27.744,2.1475,1.1531,0.53629
28.003,2.1074,1.1229,0.53202
28.261,2.0763,1.0979,0.52792
28.455,2.0485,1.0785,0.52575
28.802,2.0054,1.0413,0.51827
28.905,1.9926,1.0326,0.51723
29.148,1.959,1.0132,0.51636
29.476,1.9197,0.98448,0.51218
29.65,1.9,0.9696,0.50959
30.015,1.8569,0.93771,0.50413
30.124,1.8456,0.92819,0.50205
30.543,1.7996,0.89573,0.49687
30.693,1.7853,0.88531,0.49524
31.1,1.7465,0.85934,0.49177
31.285,1.7299,0.85071,0.49159
31.501,1.7107,0.83919,0.49032
31.834,1.6844,0.82274,0.48832
32.111,1.6618,0.81094,0.48769
32.365,1.6428,0.79823,0.4858
32.674,1.6187,0.78116,0.48249
32.914,1.6018,0.76897,0.47995
33.121,1.5868,0.76122,0.47969
33.431,1.5654,0.75074,0.47933
33.57,1.5555,0.74507,0.47861
33.93,1.5299,0.73096,0.47733
34.126,1.5171,0.72301,0.47603
34.36,1.4981,0.7107,0.47405
34.577,1.4864,0.7023,0.47213
35.081,1.4486,0.67743,0.46734
35.104,1.4469,0.67665,0.46732
35.513,1.4162,0.65885,0.46495
35.743,1.4019,0.64767,0.46178
35.953,1.388,0.6395,0.46039
36.269,1.3686,0.62613,0.45712
36.411,1.3603,0.62163,0.45668
36.766,1.3405,0.61192,0.45622
36.897,1.3325,0.60789,0.456
37.286,1.3079,0.59547,0.45515
37.472,1.2988,0.58916,0.4535
37.766,1.2839,0.57986,0.45157
38.024,1.2708,0.57128,0.44936
38.275,1.2577,0.56452,0.44868
38.485,1.2482,0.55785,0.44684
38.842,1.2324,0.55063,0.44678
39.075,1.2246,0.54763,0.44712
39.59,1.2043,0.53586,0.44477
39.755,1.1993,0.53177,0.44328
40.062,1.1878,0.5265,0.44315
40.346,1.1811,0.52045,0.4406
40.506,1.1769,0.5172,0.43931
40.871,1.1655,0.5089,0.43666
41.12,1.1586,0.50764,0.43816
41.326,1.1529,0.50554,0.43843
41.555,1.1474,0.50191,0.43736
41.955,1.1366,0.49431,0.43483
41.958,1.1365,0.49426,0.43481
42.645,1.1155,0.4801,0.43019
42.803,1.1104,0.47731,0.42971
43.141,1.0989,0.47033,0.42782
43.486,1.085,0.46259,0.42628
43.51,1.0842,0.46232,0.42632
43.873,1.0719,0.45689,0.42609
44.074,1.0649,0.45327,0.42545
44.327,1.0553,0.44802,0.42461
44.611,1.0447,0.44356,0.42469
44.801,1.0372,0.4393,0.42363
45.147,1.0243,0.43121,0.42093
45.347,1.0174,0.42767,0.42024
45.654,1.0045,0.42196,0.41997
45.825,0.99814,0.42057,0.42122
46.158,0.98656,0.41574,0.42143
46.354,0.97626,0.41124,0.42116
46.738,0.96375,0.40417,0.41929
46.874,0.95962,0.40077,0.41751
47.206,0.95062,0.3915,0.41154
47.395,0.94298,0.38873,0.41201
47.768,0.92928,0.38065,0.40951
47.835,0.92704,0.37885,0.40859
48.34,0.90894,0.37163,0.40866
48.653,0.89936,0.36761,0.40868
49.018,0.88684,0.36183,0.4079
49.202,0.88029,0.35733,0.40581
49.569,0.86664,0.3468,0.40032
49.716,0.86082,0.34568,0.40185
50.18,0.84563,0.34016,0.4026
50.875,0.81737,0.33233,0.40664
51.13,0.80762,0.32881,0.40724
51.378,0.80062,0.32622,0.40743
51.725,0.79349,0.32165,0.40528
51.873,0.78993,0.31925,0.40414
52.213,0.78502,0.31528,0.40169
52.304,0.78547,0.31448,0.40047
52.67,0.78126,0.3138,0.40166
52.942,0.78159,0.31325,0.40083
53.188,0.78305,0.31111,0.39745
53.445,0.7827,0.31009,0.39639
53.752,0.78685,0.30791,0.39162
54.01,0.78871,0.3075,0.3902
54.355,0.7956,0.30653,0.38546
54.51,0.79823,0.3073,0.38515
54.852,0.80222,0.30678,0.3827
54.965,0.80364,0.307,0.38227
55.337,0.80554,0.30713,0.38141
55.539,0.80698,0.30671,0.3802
55.92,0.80679,0.30493,0.37806
56.118,0.80603,0.30462,0.37804
56.344,0.80382,0.30491,0.37947
56.717,0.80271,0.30349,0.37821
56.788,0.80239,0.3031,0.37786
57.118,0.79719,0.30106,0.37775
57.997,0.7834,0.29641,0.3784
58.241,0.77765,0.29384,0.37779
58.599,0.76912,0.28941,0.37636
58.746,0.7655,0.28934,0.37804
59.096,0.75545,0.2867,0.37958
59.228,0.75178,0.28564,0.38001
59.571,0.74386,0.28164,0.37868
59.825,0.73746,0.27863,0.37793
60.105,0.73022,0.27555,0.37746
60.3,0.72475,0.2736,0.3776
60.654,0.7158,0.26898,0.37563
60.754,0.71289,0.26733,0.37488
61.336,0.69744,0.26055,0.37342
61.459,0.69377,0.25963,0.37402
61.873,0.68286,0.25406,0.37182
61.995,0.68057,0.25294,0.37143
62.368,0.67287,0.24829,0.36891
62.543,0.66762,0.2465,0.36917
62.899,0.65688,0.24265,0.36945
63.098,0.65154,0.24014,0.36865
63.354,0.64486,0.23742,0.36825
63.61,0.63691,0.23423,0.36796
63.922,0.62741,0.23175,0.36951
64.074,0.62269,0.23069,0.37056
64.439,0.61237,0.2269,0.37056
64.716,0.60537,0.22411,0.3703
64.911,0.59959,0.2229,0.37195
65.159,0.59221,0.22188,0.37496
65.385,0.5853,0.22044,0.377
65.659,0.57777,0.21869,0.379
66.053,0.56623,0.21689,0.38393
66.204,0.56176,0.21586,0.38525
66.411,0.55524,0.215,0.38812
