Temperature (deg C),Storage Modulus (MPa),Loss Modulus (MPpa),Tan Delta
-80.03,1937,52.898,0.027296
-79.96,1937.4,52.973,0.027327
-79.909,1937.2,52.849,0.027264
-79.714,1937.6,52.299,0.026966
-79.683,1937.6,52.23,0.026929
-79.487,1940.3,51.964,0.026746
-79.433,1940.4,51.791,0.026652
-79.309,1941.7,51.467,0.026461
-79.224,1941.9,51.359,0.026394
-79.087,1943.5,51.55,0.026459
-78.946,1950.9,53.113,0.027197
-78.832,1952.3,53.299,0.027278
-78.682,1953.5,53.241,0.027238
-78.487,1954.7,53.824,0.027523
-78.339,1955.7,53.869,0.027535
-78.142,1956.7,52.939,0.027051
-77.993,1957.8,53.446,0.027294
-77.827,1958.7,54.206,0.027669
-77.656,1959.2,54.313,0.027716
-77.437,1973.3,55.326,0.028037
-77.286,1972.5,55.038,0.027902
-77.065,1971.7,55.401,0.028097
-76.874,1970.8,53.89,0.027345
-76.686,1970.2,54.387,0.027605
-76.382,1969.3,54.828,0.027841
-76.24,1968.8,55.146,0.028009
-76.011,1969,54.76,0.02781
-75.801,1968.3,54.059,0.027466
-75.602,1968.1,54.712,0.027799
-75.404,1968.7,54.509,0.027688
-75.151,1969.2,54.686,0.02777
-74.965,1969.8,55.695,0.028273
-74.706,1969.8,55.266,0.028056
-74.53,1970.3,55.228,0.02803
-74.205,1970.8,54.647,0.027728
-74.035,1971.2,54.529,0.027661
-73.666,1972.1,54.835,0.027805
-73.504,1972.4,54.724,0.027744
-73.249,1973.3,54.536,0.027636
-73.042,1973.9,54.367,0.027542
-72.815,1974.3,54.585,0.027647
-72.582,1975.1,54.756,0.027723
-72.34,1975.5,54.887,0.027783
-72.146,1975.5,54.581,0.027629
-71.871,1975.3,54.21,0.027444
-71.654,1975.3,54.42,0.027549
-71.469,1975,53.624,0.027151
-71.139,1974.9,54.022,0.027354
-70.911,1974.4,54.061,0.02738
-70.703,1974.1,54.042,0.027375
-70.44,1973.2,52.57,0.02664
-70.195,1972.8,52.945,0.026835
-70.016,1971.8,52.659,0.026704
-69.674,1971,53.212,0.026995
-69.458,1970.2,53.535,0.027172
-69.197,1968.8,52.981,0.026909
-69.011,1968,53.184,0.027024
-68.621,1966.1,53.022,0.026967
-68.481,1965.1,52.317,0.026623
-68.198,1963.5,52.539,0.026756
-68.006,1962.4,52.965,0.026989
-67.692,1960.5,52.19,0.026619
-67.493,1959.1,51.897,0.02649
-67.203,1957,52.178,0.02666
-67.07,1956.4,52.5,0.026833
-66.77,1954.5,52.699,0.026962
-66.577,1953.3,52.315,0.026781
-66.266,1950.9,51.559,0.026425
-66.049,1949.3,51.319,0.026324
-65.806,1947.9,51.25,0.026308
-65.499,1945.5,50.102,0.025752
-65.323,1945.1,50.917,0.026176
-65.048,1943.9,50.71,0.026085
-64.838,1943.6,50.357,0.025907
-64.605,1943.2,50.561,0.026018
-64.332,1941.9,50.143,0.02582
-64.14,1941.9,50.717,0.026115
-63.864,1941.9,49.967,0.02573
-63.645,1942.1,49.653,0.025566
-63.354,1941.8,49.14,0.025305
-63.145,1941.8,49.312,0.025393
-62.913,1942.3,50.167,0.025828
-62.666,1942.2,49.687,0.025582
-62.413,1942.3,50.518,0.026008
-62.2,1941.4,50.395,0.025959
-61.964,1940.7,50.055,0.025793
-61.719,1939.9,50.823,0.026199
-61.483,1938.8,50.541,0.02607
-61.216,1937.8,50.524,0.026073
-60.951,1936.4,48.56,0.025075
-60.734,1935.4,50.474,0.026078
-60.45,1933.6,49.498,0.025597
-60.233,1932.2,49.699,0.025718
-59.945,1928.5,49.636,0.025732
-59.751,1926.8,49.733,0.025808
-59.457,1924,49.607,0.025784
-59.24,1920.8,49.765,0.025906
-58.98,1918.2,48.883,0.025482
-58.681,1916.4,49.272,0.025709
-58.516,1915.4,49.884,0.026044
-58.216,1912.4,47.988,0.025095
-57.906,1910.3,47.589,0.024911
-57.792,1909.6,47.89,0.025076
-57.321,1908.1,49.321,0.025847
-57.112,1906.8,49.657,0.026038
-56.883,1906.6,50.407,0.026432
-56.694,1906.2,49.997,0.026224
-56.26,1906.3,49.28,0.025846
-56.1,1906.4,49.042,0.02572
-55.845,1906.9,48.339,0.025346
-55.506,1906,47.537,0.024933
-55.293,1906.1,47.528,0.024929
-55.017,1905.6,48.353,0.02537
-54.853,1904.7,48.022,0.025208
-54.559,1904.1,49.565,0.026026
-54.341,1902.9,49.377,0.025948
-54.083,1901.3,47.851,0.025161
-53.832,1898.8,47.663,0.025102
-53.626,1897.2,48.68,0.025664
-53.43,1896,48.02,0.025329
-53.149,1893.9,47.679,0.025177
-52.855,1891.8,47.361,0.025037
-52.653,1888.9,47.517,0.025155
-52.388,1886.5,48.499,0.025705
-52.199,1884.5,49.711,0.026379
-51.913,1881.6,49.68,0.02641
-51.639,1880.1,49.939,0.026568
-51.386,1877.5,48.735,0.025953
-51.086,1876,48.29,0.025745
-50.864,1874.8,48.554,0.025898
-50.62,1872.9,46.98,0.025083
-50.389,1873.6,46.83,0.024996
-50.14,1874.4,45.93,0.024505
-49.908,1871.1,46.16,0.024673
-49.629,1869.9,46.446,0.024843
-49.417,1868.9,46.814,0.025052
-49.106,1869.1,46.321,0.024787
-48.938,1868.8,46.072,0.024657
-48.654,1868.5,46.996,0.025157
-48.407,1867.9,46.275,0.024779
-48.068,1866.8,47.382,0.025391
-47.878,1865.2,47.41,0.025429
-47.612,1864,45.477,0.024403
-47.193,1862.9,45.017,0.024171
-47.06,1860.3,46.686,0.0251
-46.727,1857.2,48.101,0.025903
-46.479,1855.7,46.328,0.024964
-46.232,1854.4,46.504,0.025081
-46.025,1851.7,47.188,0.025487
-45.779,1846.4,45.215,0.024464
-45.445,1843.8,42.416,0.022984
-45.241,1843.1,44.374,0.024066
-45.013,1839.9,44.365,0.024103
-44.73,1838.4,42.421,0.023071
-44.523,1835.7,42.866,0.023343
-44.315,1833.7,41.618,0.022689
-43.984,1830.6,44.686,0.024396
-43.826,1829.3,44.24,0.024171
-43.534,1828.7,44.109,0.024111
-43.361,1829,45.124,0.024657
-43.034,1827.8,45.589,0.02493
-42.779,1827.3,45.436,0.024852
-42.453,1826.4,46.281,0.025328
-42.327,1827.1,48.491,0.026528
-42.015,1823.5,47.428,0.026009
-41.788,1823,46.843,0.025693
-41.481,1821.5,45.913,0.025201
-41.256,1820.3,46.942,0.025783
-41.11,1819.1,47.256,0.02597
-40.785,1816.1,47.6,0.026209
-40.556,1814.3,46.138,0.025414
-40.352,1812.9,46.097,0.025425
-40.113,1808.4,45.45,0.025124
-39.868,1805.5,42.752,0.023663
-39.525,1801.9,41.81,0.023199
-39.345,1800.5,44.165,0.024532
-39.114,1798,44.827,0.024936
-38.873,1797.3,46.06,0.025638
-38.545,1795,44.583,0.024846
-38.547,1795.1,44.565,0.024836
-38.201,1792.7,44.568,0.024867
-37.903,1790.3,44.371,0.02479
-37.4,1787.8,48.282,0.027024
-37.304,1787.3,46.448,0.026001
-36.921,1784.1,44.401,0.024892
-36.813,1783.2,44.877,0.025173
-36.587,1779.6,48.327,0.027165
-35.994,1771.4,51.87,0.029296
-35.787,1768.7,48.587,0.027496
-35.904,1771.1,47.915,0.027085
-35.261,1760.9,45.794,0.026028
-34.881,1757.8,45.487,0.025882
-34.92,1758.3,45.347,0.025797
-34.028,1748.7,51.656,0.029542
-33.964,1748.3,52.016,0.029752
-33.482,1744.7,54.048,0.030972
-33.007,1742.2,50.479,0.028972
-32.754,1736.8,50.45,0.029049
-32.793,1737.6,50.419,0.029018
-32.968,1740.7,50.214,0.028849
-32.557,1732,50.436,0.029116
-31.451,1714.8,51.57,0.030079
-31.015,1709.7,58.74,0.034262
-30.828,1706.7,55.783,0.032624
-30.583,1704.6,53.341,0.031262
-30.383,1703.6,52.183,0.030617
-30.474,1704.3,52.963,0.031053
-30.619,1705.5,54.355,0.031831
-29.99,1701.4,49.259,0.028962
-29.613,1699.2,48.175,0.028369
-29.154,1697.3,50.182,0.029596
-29.046,1697.3,49.846,0.029397
-28.464,1693.9,48.446,0.028615
-28.33,1690.9,50.065,0.029648
-28.592,1690,50.024,0.029638
-28.286,1690.9,50.107,0.029674
-27.714,1684.6,50.968,0.030296
-27.748,1685.2,50.938,0.030268
-27.247,1678.2,50.176,0.029929
-27.037,1674.5,50.231,0.030026
-26.909,1672.2,50.778,0.030391
-26.945,1672.8,50.704,0.030336
-27.242,1677.8,49.945,0.029802
-26.62,1666.6,52.404,0.031455
-25.982,1657.9,53.532,0.032324
-25.911,1657.3,53.327,0.032213
-25.828,1656.5,53.103,0.032092
-25.328,1648.1,53.629,0.032554
-24.894,1642,52.528,0.032012
-25.024,1644.1,52.606,0.032017
-24.876,1641.7,52.524,0.032015
-24.254,1631.9,53.12,0.032544
-24.026,1629.4,50.243,0.030811
-24.084,1630.3,50.46,0.030928
-23.912,1627.7,49.834,0.030592
-23.059,1616.4,49.125,0.030376
-22.636,1613.1,48.711,0.030201
-22.53,1613.3,49.477,0.030673
-22.793,1615.2,50.304,0.031141
-22.247,1611.2,51.836,0.032159
-22.079,1611.3,52.587,0.032621
-22.072,1611.3,52.619,0.032641
-21.479,1602.9,56.225,0.035114
-21.113,1596.8,56.129,0.035169
-20.865,1595.2,58.111,0.036442
-21.026,1598.3,56.918,0.035627
-20.999,1597.8,57.116,0.035762
-20.481,1590.2,61.089,0.038423
-20.332,1586.6,61.8,0.038962
-20.101,1580.6,62.423,0.039504
-19.931,1577.2,63.007,0.039951
-20.072,1580.5,62.897,0.039799
-19.591,1571.7,66.111,0.042085
-19.189,1559.3,66.21,0.042481
-19.086,1555.3,66.436,0.042754
-18.958,1549.9,66.234,0.042779
-18.753,1542.6,66.241,0.042991
-18.371,1534.7,65.145,0.042517
-18.417,1536,64.923,0.042338
-18.503,1538.5,64.511,0.042003
-17.638,1516.3,67.268,0.044376
-17.192,1505.3,69.347,0.046092
-16.944,1500.2,70.141,0.046791
-16.609,1488.8,72.097,0.048409
-17.002,1498.1,73.439,0.04893
-16.754,1491.8,72.305,0.048426
-16.132,1475.5,77.43,0.052632
-16.063,1473.8,77.893,0.05301
-15.565,1465.8,80.239,0.054895
-15.103,1456.8,79.453,0.054602
-14.755,1449.8,76.658,0.052852
-15.359,1461.6,74.242,0.050824
-14.657,1447.8,76.894,0.053085
-13.826,1425.8,84.991,0.059687
-13.419,1416.9,84.133,0.059447
-12.954,1402.8,86.674,0.061807
-12.76,1399,85.83,0.061398
-12.851,1400.8,86.132,0.061524
-12.887,1401.5,86.295,0.061604
-12.809,1400,85.971,0.061451
-12.528,1394.4,85.679,0.061508
-12.42,1391.5,87.088,0.062705
-12.127,1382.9,87.852,0.063705
-11.583,1366.5,93.363,0.068524
-11.462,1363.1,94.337,0.069405
-11.005,1350.2,97.305,0.072227
-10.871,1348.5,97.583,0.072538
-10.71,1345.3,97.857,0.072926
-10.725,1345.6,97.824,0.072883
-10.204,1330.9,100.33,0.07552
-10.238,1331.8,100.11,0.075303
-9.5966,1315.6,105.42,0.080237
-9.4015,1307.9,107.84,0.082516
-8.8598,1289.3,110.21,0.085641
-8.7108,1284.9,111.02,0.086572
-8.4727,1278.9,112.4,0.088025
-8.631,1283.8,111.68,0.087118
-8.6304,1283.8,111.69,0.087122
-7.9975,1263.1,114.2,0.090619
-7.6465,1250.3,115.57,0.092686
-7.7867,1255.7,114.82,0.091663
-6.9145,1222.4,121.83,0.099802
-6.7103,1214.8,122.66,0.10118
-6.5384,1208.6,123.67,0.10259
-6.1862,1194,126.2,0.10594
-5.8254,1181,127.01,0.10774
-5.6961,1173.9,128.41,0.1097
-5.4208,1162,130.53,0.11275
-5.4049,1162.1,130.64,0.11281
-5.0625,1149,133.24,0.11634
-4.8164,1137.7,135.43,0.11948
-4.825,1138.1,135.35,0.11937
-4.3265,1115.1,140.29,0.12637
-4.3133,1114.7,140.15,0.12627
-4.193,1108.6,140.97,0.12778
-4.028,1099.7,142.32,0.13016
-3.5175,1071.6,147.89,0.13878
-3.516,1071.5,147.9,0.1388
-3.1419,1051.9,150.1,0.14346
-3.012,1046.8,150.2,0.14423
-2.7915,1033.8,152.67,0.14827
-2.6771,1028.5,153.5,0.14979
-2.4779,1019.6,154.75,0.1524
-2.2545,1008.9,155.7,0.15495
-1.9562,992.51,157.46,0.15917
-1.8208,984.3,159.12,0.1624
-1.5287,968.37,160.7,0.1668
